show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,duration_clean,duration_type
s1,TV Show,Title 1,Director 1,Unknown,Japan,07-01-2017 00:00,2020,R,6 Seasons,"Romance, Fantasy",Description for Title 1,6,Seasons
s2,Movie,Title 2,Director 2,"Actor 2, Actress 2",Germany,Not Available,1993,PG-13,134 min,"Romance, Sci-Fi",Description for Title 2,134,Minutes
s3,TV Show,Title 3,Director 3,Unknown,United States,09-05-2022 00:00,2006,TV-MA,3 Seasons,"Documentary, Thriller",Description for Title 3,3,Seasons
s4,Movie,Title 4,Director 4,"Actor 4, Actress 4",Spain,08-09-2024 00:00,2013,R,180 min,"Horror, Action",Description for Title 4,180,Minutes
s5,TV Show,Title 5,Director 5,"Actor 5, Actress 5",Germany,Not Available,1990,G,7 Seasons,"Action, Adventure",Description for Title 5,7,Seasons
s6,TV Show,Title 6,Director 6,"Actor 6, Actress 6",Spain,Not Available,2014,TV-14,9 Seasons,"Fantasy, Documentary",Description for Title 6,9,Seasons
s7,Movie,Title 7,Director 7,"Actor 7, Actress 7",Spain,Not Available,2003,TV-MA,180 min,"Action, Crime",Description for Title 7,180,Minutes
s8,TV Show,Title 8,Director 8,Unknown,Japan,Not Available,1998,PG,9 Seasons,"Fantasy, Thriller",Description for Title 8,9,Seasons
s9,Movie,Title 9,Unknown,"Actor 9, Actress 9",Spain,11-03-2021 00:00,1995,PG,112 min,"Thriller, Adventure",Description for Title 9,112,Minutes
s10,Movie,Title 10,Director 10,"Actor 10, Actress 10",India,11-12-2018 00:00,1999,PG-13,76 min,"Drama, Documentary",Description for Title 10,76,Minutes
s11,Movie,Title 11,Director 11,"Actor 11, Actress 11",Spain,10-01-2023 00:00,2014,PG-13,78 min,"Thriller, Action",Description for Title 11,78,Minutes
s12,Movie,Title 12,Director 12,"Actor 12, Actress 12",United Kingdom,Not Available,1992,PG-13,130 min,"Horror, Horror",Description for Title 12,130,Minutes
s13,Movie,Title 13,Director 13,"Actor 13, Actress 13",Japan,Not Available,2020,G,109 min,"Adventure, Documentary",Description for Title 13,109,Minutes
s14,TV Show,Title 14,Unknown,Unknown,United Kingdom,Not Available,2022,PG-13,9 Seasons,"Action, Adventure",Description for Title 14,9,Seasons
