show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,TV Show,Title 1,Director 1,,Japan,1-7-2017,2020,R,6 Seasons,"Romance, Fantasy",Description for Title 1
s2,Movie,Title 2,Director 2,"Actor 2, Actress 2",Germany,14-1-2015,1993,PG-13,134 min,"Romance, Sci-Fi",Description for Title 2
s3,TV Show,Title 3,Director 3,,United States,5-9-2022,2006,TV-MA,3 Seasons,"Documentary, Thriller",Description for Title 3
s4,Movie,Title 4,Director 4,"Actor 4, Actress 4",Spain,9-8-2024,2013,R,180 min,"Horror, Action",Description for Title 4
s5,TV Show,Title 5,Director 5,"Actor 5, Actress 5",Germany,17-6-2020,1990,G,7 Seasons,"Action, Adventure",Description for Title 5
s6,TV Show,Title 6,Director 6,"Actor 6, Actress 6",Spain,24-6-2020,2014,TV-14,9 Seasons,"Fantasy, Documentary",Description for Title 6
s7,Movie,Title 7,Director 7,"Actor 7, Actress 7",Spain,28-5-2019,2003,TV-MA,180 min,"Action, Crime",Description for Title 7
s8,TV Show,Title 8,Director 8,,Japan,13-5-2023,1998,PG,9 Seasons,"Fantasy, Thriller",Description for Title 8
s9,Movie,Title 9,,"Actor 9, Actress 9",Spain,3-11-2021,1995,PG,112 min,"Thriller, Adventure",Description for Title 9
s10,Movie,Title 10,Director 10,"Actor 10, Actress 10",India,12-11-2018,1999,PG-13,76 min,"Drama, Documentary",Description for Title 10
s11,Movie,Title 11,Director 11,"Actor 11, Actress 11",Spain,1-10-2023,2014,PG-13,78 min,"Thriller, Action",Description for Title 11
s12,Movie,Title 12,Director 12,"Actor 12, Actress 12",United Kingdom,27-3-2021,1992,PG-13,130 min,"Horror, Horror",Description for Title 12
s13,Movie,Title 13,Director 13,"Actor 13, Actress 13",Japan,24-5-2020,2020,G,109 min,"Adventure, Documentary",Description for Title 13
s14,TV Show,Title 14,,,United Kingdom,14-11-2019,2022,PG-13,9 Seasons,"Action, Adventure",Description for Title 14
s15,Movie,Title 15,,"Actor 15, Actress 15",Spain,13-5-2015,2001,TV-14,109 min,"Thriller, Thriller",Description for Title 15
s16,Movie,Title 16,Director 16,"Actor 16, Actress 16",South Korea,11-1-2023,2007,TV-MA,107 min,"Comedy, Drama",Description for Title 16
s17,TV Show,Title 17,Director 17,"Actor 17, Actress 17",India,22-5-2024,2010,TV-14,5 Seasons,"Horror, Comedy",Description for Title 17
s18,Movie,Title 18,Director 18,"Actor 18, Actress 18",Spain,28-11-2017,2023,G,107 min,"Romance, Drama",Description for Title 18
s19,TV Show,Title 19,Director 19,"Actor 19, Actress 19",South Korea,14-2-2024,2005,TV-MA,2 Seasons,"Romance, Thriller",Description for Title 19
s20,Movie,Title 20,Director 20,"Actor 20, Actress 20",Germany,6-4-2020,1990,TV-MA,79 min,"Thriller, Crime",Description for Title 20
s21,Movie,Title 21,Director 21,,Spain,23-12-2015,2023,PG-13,77 min,"Adventure, Horror",Description for Title 21
s22,TV Show,Title 22,,"Actor 22, Actress 22",Japan,6-6-2016,1995,G,7 Seasons,"Crime, Romance",Description for Title 22
s23,TV Show,Title 23,Director 23,"Actor 23, Actress 23",United States,26-3-2017,2000,PG,8 Seasons,"Adventure, Action",Description for Title 23
s24,TV Show,Title 24,Director 24,"Actor 24, Actress 24",Japan,17-7-2020,2002,PG-13,9 Seasons,"Horror, Horror",Description for Title 24
s25,TV Show,Title 25,,"Actor 25, Actress 25",Germany,20-2-2023,1992,R,3 Seasons,"Action, Adventure",Description for Title 25
s26,Movie,Title 26,Director 26,"Actor 26, Actress 26",United States,27-7-2018,2009,PG-13,135 min,"Horror, Fantasy",Description for Title 26
s27,TV Show,Title 27,Director 27,,India,16-12-2022,2020,TV-14,7 Seasons,"Crime, Comedy",Description for Title 27
s28,TV Show,Title 28,Director 28,"Actor 28, Actress 28",Germany,13-1-2016,2010,TV-14,3 Seasons,"Fantasy, Horror",Description for Title 28
s29,Movie,Title 29,Director 29,"Actor 29, Actress 29",United Kingdom,5-3-2020,2007,G,120 min,"Action, Romance",Description for Title 29
s30,Movie,Title 30,Director 30,"Actor 30, Actress 30",United States,24-4-2021,2003,PG-13,74 min,"Sci-Fi, Drama",Description for Title 30
s31,TV Show,Title 31,,,Japan,27-7-2020,2014,TV-MA,10 Seasons,"Thriller, Comedy",Description for Title 31
s32,Movie,Title 32,Director 32,"Actor 32, Actress 32",Germany,25-11-2020,1999,PG-13,171 min,"Horror, Sci-Fi",Description for Title 32
s33,Movie,Title 33,Director 33,"Actor 33, Actress 33",United Kingdom,23-7-2018,2007,PG,161 min,"Thriller, Comedy",Description for Title 33
s34,TV Show,Title 34,Director 34,"Actor 34, Actress 34",Japan,20-8-2023,2001,PG-13,4 Seasons,"Documentary, Adventure",Description for Title 34
s35,Movie,Title 35,,,Spain,21-11-2018,2002,G,159 min,"Sci-Fi, Sci-Fi",Description for Title 35
s36,Movie,Title 36,Director 36,"Actor 36, Actress 36",Spain,12-12-2021,2002,PG-13,67 min,"Crime, Drama",Description for Title 36
s37,TV Show,Title 37,Director 37,"Actor 37, Actress 37",Germany,27-9-2020,1999,PG-13,2 Seasons,"Fantasy, Drama",Description for Title 37
